,,,,,,,,,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C,B2C
,,,,,,,,,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,UK,MK,RS
Paper,,,,,,,,,AT1,BE2,BG2,HR4,CY2,CZ110,,EE2,,,DE2,GR1,HU6,,,LV3,LT2,LU3,MT2,NL2,PL1,PT3,RO8,SK6,SL2,ES13,SE1,,MK1,RS1
Paper,Beverage,,,,,,,,AT6,BE5,BG2,HR4,CY7,CZ104,,EE9,,,DE6,GR1,HU6,,,LV3,LT2,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL2,ES11,SE1,,MK1,RS1
Paper,Composite,,,,,,,,AT7,BE24,BG6,HR6,CY2,CZ112,,EE3,,,DE7,GR10,HU3,,,LV7,LT10,LU3,MT2,NL2,PL1,PT3,RO8,SK7,SL13,ES14,SE1,,MK6,RS1
Paper,Biodegradable,,,,,,,,AT11,BE2,BG2,HR4,CY2,CZ110,,EE2,,,DE2,GR1,HU6,,,LV3,LT2,LU3,MT2,NL2,PL1,PT3,RO8,SK6,SL2,ES13,SE1,,MK1,RS1
Paper,Hazardous,,,,,,,,AT1,BE22,BG2,HR4,CY2,CZ110,,EE2,,,DE3,GR1,HU6,,,LV3,LT2,LU3,MT2,NL2,PL1,PT3,RO8,SK6,SL20,ES13,SE1,,MK1,RS1
Paper,Recycled,,,,,,,,AT1,BE2,BG2,HR4,CY2,CZ110,,EE2,,,DE4,GR1,HU6,,,LV3,LT2,LU3,MT2,NL2,PL1,PT3,RO8,SK6,SL2,ES13,SE1,,MK1,RS1
Paper,Beverage,Composite,,,,,,,AT6,BE5,BG6,HR5,CY7,CZ104,,EE9,,,DE6,GR10,HU2,,,LV3,LT10,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL13,ES12,SE1,,MK6,RS1
Paper,Beverage,Biodegradable,,,,,,,AT6,BE5,BG2,HR4,CY7,CZ104,,EE9,,,DE6,GR1,HU6,,,LV3,LT2,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL2,ES11,SE1,,MK1,RS1
Paper,Beverage,Hazardous,,,,,,,AT6,BE22,BG2,HR4,CY7,CZ104,,EE9,,,DE6,GR1,HU6,,,LV3,LT2,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL20,ES11,SE1,,MK1,RS1
Paper,Beverage,Recycled,,,,,,,AT6,BE5,BG2,HR4,CY7,CZ105,,EE9,,,DE6,GR1,HU6,,,LV3,LT2,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL2,ES11,SE1,,MK1,RS1
Paper,Composite,Biodegradable,,,,,,,AT11,BE24,BG6,HR6,CY2,CZ112,,EE3,,,DE7,GR10,HU3,,,LV7,LT10,LU3,MT2,NL2,PL1,PT3,RO8,SK7,SL13,ES14,SE1,,MK6,RS1
Paper,Composite,Hazardous,,,,,,,AT7,BE22,BG6,HR6,CY2,CZ112,,EE3,,,DE7,GR10,HU3,,,LV7,LT10,LU3,MT2,NL2,PL1,PT3,RO8,SK7,SL20,ES14,SE1,,MK6,RS1
Paper,Composite,Recycled,,,,,,,AT7,BE24,BG6,HR6,CY2,CZ112,,EE3,,,DE7,GR10,HU3,,,LV7,LT10,LU3,MT2,NL2,PL1,PT3,RO8,SK7,SL13,ES14,SE1,,MK6,RS1
Paper,Biodegradable,Hazardous,,,,,,,AT11,BE22,BG2,HR4,CY2,CZ110,,EE2,,,DE2,GR1,HU6,,,LV3,LT2,LU3,MT2,NL2,PL1,PT3,RO8,SK6,SL20,ES13,SE1,,MK1,RS1
Paper,Biodegradable,Recycled,,,,,,,AT11,BE2,BG2,HR4,CY2,CZ110,,EE2,,,DE2,GR1,HU6,,,LV3,LT2,LU3,MT2,NL2,PL1,PT3,RO8,SK6,SL2,ES13,SE1,,MK1,RS1
Paper,Hazardous,Recycled,,,,,,,AT1,BE22,BG2,HR4,CY2,CZ110,,EE2,,,DE2,GR1,HU6,,,LV3,LT2,LU3,MT2,NL2,PL1,PT3,RO8,SK6,SL20,ES13,SE1,,MK1,RS1
Paper,Beverage,Composite,Biodegradable,,,,,,AT6,BE5,BG6,HR5,CY7,CZ104,,EE9,,,DE6,GR10,HU2,,,LV3,LT10,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL13,ES12,SE1,,MK6,RS1
Paper,Beverage,Composite,Hazardous,,,,,,AT6,BE22,BG6,HR5,CY7,CZ104,,EE9,,,DE6,GR10,HU2,,,LV3,LT10,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL20,ES12,SE1,,MK6,RS1
Paper,Beverage,Composite,Recycled,,,,,,AT6,BE5,BG6,HR5,CY7,CZ105,,EE9,,,DE6,GR10,HU2,,,LV3,LT10,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL13,ES12,SE1,,MK6,RS1
Paper,Beverage,Biodegradable,Hazardous,,,,,,AT6,BE22,BG2,HR4,CY7,CZ104,,EE9,,,DE6,GR1,HU6,,,LV3,LT2,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL20,ES11,SE1,,MK1,RS1
Paper,Beverage,Biodegradable,Recycled,,,,,,AT6,BE5,BG2,HR4,CY7,CZ105,,EE9,,,DE6,GR1,HU6,,,LV3,LT2,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL2,ES11,SE1,,MK1,RS1
Paper,Beverage,Hazardous,Recycled,,,,,,AT6,BE22,BG2,HR4,CY7,CZ105,,EE9,,,DE6,GR1,HU6,,,LV3,LT2,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL20,ES11,SE1,,MK1,RS1
Paper,Composite,Biodegradable,Hazardous,,,,,,AT11,BE22,BG6,HR6,CY2,CZ112,,EE3,,,DE7,GR10,HU3,,,LV7,LT10,LU3,MT2,NL2,PL1,PT3,RO8,SK7,SL20,ES14,SE1,,MK6,RS1
Paper,Composite,Biodegradable,Recycled,,,,,,AT11,BE24,BG6,HR6,CY2,CZ112,,EE3,,,DE7,GR10,HU3,,,LV7,LT10,LU3,MT2,NL2,PL1,PT3,RO8,SK7,SL13,ES14,SE1,,MK6,RS1
Paper,Composite,Hazardous,Recycled,,,,,,AT7,BE22,BG6,HR6,CY2,CZ112,,EE3,,,DE7,GR10,HU3,,,LV7,LT10,LU3,MT2,NL2,PL1,PT3,RO8,SK7,SL20,ES14,SE1,,MK6,RS1
Paper,Biodegradable,Hazardous,Recycled,,,,,,AT11,BE22,BG2,HR4,CY2,CZ110,,EE2,,,DE2,GR1,HU6,,,LV3,LT2,LU3,MT2,NL2,PL1,PT3,RO8,SK6,SL20,ES13,SE1,,MK1,RS1
Paper,Beverage,Composite,Biodegradable,Hazardous,,,,,AT6,BE22,BG6,HR5,CY7,CZ104,,EE9,,,DE6,GR10,HU2,,,LV3,LT10,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL20,ES12,SE1,,MK6,RS1
Paper,Beverage,Composite,Biodegradable,Recycled,,,,,AT6,BE5,BG6,HR5,CY7,CZ105,,EE9,,,DE6,GR10,HU2,,,LV3,LT10,LU4,MT2,NL8,PL1,PT4,RO8,SK8,SL13,ES12,SE1,,MK6,RS1
